Date,Gasoline,,,
1/1/2012,1166817,,,
2/1/2012,1116551,,,0.965517241
3/1/2012,1239604,,,
4/1/2012,1188733,,,
5/1/2012,1279635,,,
6/1/2012,1230703,,,
7/1/2012,1231967,,,
8/1/2012,1258494,,,
9/1/2012,1194184,,,
10/1/2012,1221468,,,
11/1/2012,1163316,,,
12/1/2012,1194342,,,
1/1/2013,1170849,,,
2/1/2013,1099319,,,
3/1/2013,1241055,,,
4/1/2013,1210078,,,
5/1/2013,1261850,,,
6/1/2013,1217495,,,
7/1/2013,1242738,,,
8/1/2013,1277637,,,
9/1/2013,1197089,,,
10/1/2013,1243934,,,
11/1/2013,1173283,,,
12/1/2013,1217978,,,
1/1/2014,1175169,,,
2/1/2014,1109843,,,
3/1/2014,1247379,,,
4/1/2014,1211500,,,
5/1/2014,1274632,,,
6/1/2014,1221371,,,
7/1/2014,1252075,,,
8/1/2014,1285850,,,
9/1/2014,1223680,,,
10/1/2014,1272074,,,
11/1/2014,1195260,,,
12/1/2014,1249037,,,
1/1/2015,1217055,,,
2/1/2015,1148825,,,
3/1/2015,1288573,,,
4/1/2015,1256811,,,
5/1/2015,1279627,,,
6/1/2015,1264320,,,
7/1/2015,1279317,,,
8/1/2015,1317484,,,
9/1/2015,1264803,,,
10/1/2015,1305814,,,
11/1/2015,1225432,,,
12/1/2015,1271902,,,
1/1/2016,1222467,,,
2/1/2016,1184323,,,
3/1/2016,1301398,,,
4/1/2016,1279594,,,
5/1/2016,1324240,,,
6/1/2016,1298021,,,
7/1/2016,1332313,,,
8/1/2016,1365011,,,
9/1/2016,1290004,,,
10/1/2016,1320434,,,
11/1/2016,1251787,,,
12/1/2016,1295805,,,
