StateName,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
U.S. Totals,11339357.13,10813846.77,12138873.49,12025270.3,12565766.5,12671225.1,12560767.04,12841675.93,12359138.69
Alabama,225701.39,210467.74,206548.803,242694.476,234179.95,245408.908,236621.329,243817.61,248340.623
Alaska,21694.768,20250.267,24097.475,21766.093,25490.789,27120.424,29295.131,28674.868,25276.196
Arizona,233670.93,221266.247,259302.961,249088.688,251437.586,241159.862,250836.545,255961.984,242800.939
Arkansas,116836.758,112946.587,131668.628,127387.34,134404.14,132339.628,133234.859,134384.336,123530.068
California,1229367.998,1162331.123,1345472.154,1287544.76,1356448.673,1320833.534,1337664.094,1315587.14,1298500.556
Colorado,187284.026,174729.94,196089.884,186234.581,207661.345,212013.468,218000.616,222875.738,205212.953
Connecticut,117791.378,106493.616,121770.772,123945.246,129519.052,128812.782,130438.621,132236.272,125646.486
Delaware,41154.553,36066.237,34063.121,41909.213,49915.354,43835.579,40627.538,51314.808,35992.727
DC,11611.251,7898.006,10344.321,4571.979,1211.206,12815.527,12020.014,12766.109,9685.081
Florida,776495.485,764744.082,722318.364,841632.753,782276.575,801160.071,756091.071,757603.62,795450.794
Georgia,389639.767,381071.786,449452.513,429916.138,444399.5,426028.051,414243.215,457025.506,422397.167
Hawaii,39389.327,36104.484,40344.915,39886.944,40081.652,40094.776,40142.26,41705.676,39090.586
Idaho,63928.136,60764.057,64984.247,50540.667,63582.518,74270.692,70315.945,74358.516,80960.788
Illinois,385632.883,357907.704,411468.503,396430.429,425951.272,425864.926,418204.077,429330.431,396588.548
Indiana,251279.168,233423.717,269780.907,266043.027,286691.146,287010.971,278867.023,289907.922,266928.746
Iowa,116709.312,124906.738,136309.756,136191.445,143102.84,138488.097,169727.572,157189.414,140633.981
Kansas,103230.96,96757.912,103596.974,108169.856,104706.962,119759.823,115887.6,120030.809,110393.405
Kentucky,172260.952,159991.807,190369.992,185719.862,196540.309,194417.32,196919.394,203478.427,184441.001
Louisiana,187497.96,182140.788,211898.993,200942.571,199901.239,196916.845,198653.366,188995.357,190735.571
Maine,67889.184,62854.062,54477.676,24743.146,102377.823,71279.909,14588.86,139774.816,156283.126
Maryland,210592.568,186911.624,279200.541,225983.074,227600.631,232615.918,219431.593,241674.218,226211.751
Massachusetts,218155.892,202074.863,232119.178,224837.925,242785.98,252468.851,241523.065,246463.365,232546.955
Michigan,377388.419,350682.411,408672.748,364399.956,429284.586,429801.549,429870.002,442866.402,411783.056
Minnesota,221073.822,205591.024,214880.402,209514.276,261404.749,242991.025,241255.241,246058.959,221805.691
Mississippi,125846.314,124472.546,168373.55,142416.006,157602.261,145215.931,146327.899,152896.105,149282.103
Missouri,245959.322,238039.755,269286.69,270706.353,266397.176,302347.963,288132.984,287319.32,263176.495
Montana,38789.427,35680.207,41955.126,41983.951,49048.596,53239.961,58806.457,56956.451,47095.302
Nebraska,66730.544,63852.683,76761.666,73185.64,81743.434,85045.992,81751.924,85701.227,75487.523
Nevada,93628.722,86769.5,103360.182,99583.025,104693.456,105606.716,109026.335,111537.624,102752.962
New Hampshire,57243.949,52865.701,59079.342,55551.522,62344.729,64069.492,65976.141,68151.711,60504.514
New Jersey,320901.246,294184.842,336420.639,327039.37,338060.489,352502.543,354676.954,365164.627,330778.618
New Mexico,82582.441,73372.378,87167.011,82106.351,97440.187,86313.865,88944.227,89034.617,90191.052
New York,513357.103,417216.545,480897.249,431889.587,518799.538,493452.442,487733.659,516529.512,465184.899
North Carolina,367109.067,354932.531,410873.546,397950.756,430017.095,419573.33,417596.432,429411.564,402059.375
North Dakota,33298.724,31365.291,34940.901,35021.172,39151.437,40661.426,40603.055,41334.64,35558.17
Ohio,405496.899,373636.013,430395.759,427123.97,454914.464,455436.556,451653.858,473204.248,427658.503
Oklahoma,100966.382,169345.984,143257.127,165400.178,207320.713,163515.218,171534.305,171990.924,183120.65
Oregon,127520.183,115674.885,132560.242,132880.016,144069.402,144980.95,153311.546,155668.72,134740.027
Pennsylvania,387483.571,368443.853,419989.658,418208.497,440845.939,441113.356,440246.193,449755.013,413114.848
Rhode Island,33190.187,28858.766,31713.739,34856.956,34506.62,31896.408,31866.99,35443.293,32609.955
South Carolina,223234.998,214581.769,238108.164,256082.431,255887.703,239041.586,265059.583,256462.188,241959.057
South Dakota,39749.419,34466.639,31642.447,38405.525,34779.953,45367.813,46824.503,47126.523,49178.334
Tennessee,256828.109,247989.236,281755.944,308868.451,288699.376,310147.496,305886.875,315026.933,309979.024
Texas,1148351.445,1090031.398,1259047.33,1221039.672,1258994.474,1212106.786,1228356.181,1179171.14,1302093.407
Utah,95838.336,85038.748,104398.114,104167.44,102520.697,109295.361,108070.2,114346.732,103219.087
Vermont,24954.465,23526.342,25518.718,23118.672,26907.6,27278.435,28275.529,29997.656,25973.889
Virginia,297918.251,335542.322,359955.258,312013.627,299777.799,446806.17,389643.897,341829.327,347466.458
Washington,186691.855,205125.236,234270.139,273863.473,213700.037,247167.771,257291.095,263732.334,250398.066
West Virginia,58793.501,62003.959,36836.795,101269.145,49689.528,75661.941,75441.273,73235.297,69903.619
Wisconsin,211606.688,205614.009,196306.059,234726.799,241148.703,243315.872,238511.246,261607.211,213910.667
Wyoming,29009.098,22838.812,24768.263,25717.267,25749.219,32555.186,34758.669,34958.688,40505.289
Puerto Rico,68932.333,68416.373,69859.108,85208.409,93406.66,85462.063,67162.349,76854.79,73168.461
